AuthorID,AuthorName,WeightedReadScore,TotalPages
584,Pat Frank,4.9,323
218,Daniel Keyes,4.9,311
80,Matt Ruff,4.9,329
44,William Peter Blatty,4.858868501529052,654
573,J. R. R. Tolkien,4.834827175208582,1678
317,Art Spiegelman,4.83,296
326,Akiyuki Nosaka,4.81,18
333,Annie Jacobsen,4.8,416
26,Bram Stoker,4.8,488
38,Octavia E. Butler,4.799302325581396,645
17,Junot Díaz,4.75,335
136,Mary W. Shelley,4.75,260
100,Richard L. Tierney,4.75,36
188,Arkady Strugatsky,4.7,145
547,Alejandro Jodorowsky,4.7,307
51,Nevil Shute,4.7,296
578,Boris Strugatsky,4.7,145
640,Ira Levin,4.7,308
36,Margaret Atwood,4.7,314
353,David M. Ewalt,4.7,276
696,Cixin Liu,4.686550435865505,1606
575,John Langan,4.685273972602739,292
43,William Gibson,4.674625000000001,480
93,Ted Chiang,4.629892141756549,649
760,Will Murray,4.6,20
709,James Tynion IV,4.551470588235294,544
759,Ken Asamatsu,4.55,19
638,Philip Fracassi,4.55,335
772,Maureen F. McHugh,4.55,313
21,Arthur C. Clarke,4.541141374837873,771
784,Tara Westover,4.5,352
762,Darrell Schweitzer,4.5,11
161,Grady Hendrix,4.5,254
652,Richard Preston,4.5,352
448,Elizabeth Kolbert,4.5,336
487,Liliana Heker,4.5,272
266,Carl Sagan,4.5,375
462,H. G. Wells,4.495483870967742,310
30,Frank Herbert,4.459698492462312,995
339,Jason Schreier,4.4,353
570,Alfred Lansing,4.4,282
29,Dan Simmons,4.395859062840537,2753
23,Jorge Luis Borges,4.38422712933754,317
34,Ken Follett,4.364495001723544,2901
756,Ian Watson,4.35,29
99,Walter Isaacson,4.320360631104433,1331
20,Andrzej Sapkowski,4.269217330538085,2862
376,Douglas Coupland,4.25,466
150,Jack Ketchum,4.25,370
730,Charles Petzold,4.25,396
400,David Mazzucchelli,4.25,144
239,Frank Miller,4.25,144
19,Alan Moore,4.246898638426626,1322
665,Taylor Jenkins Reid,4.2,307
8,Adolfo Bioy Casares,4.2,112
159,Emily St. John Mandel,4.2,333
337,Michael Witwer,4.2,302
476,Ann Rule,4.2,618
741,J. D. Salinger,4.2,234
507,Philip Roth,4.2,391
2,Stephen King,4.168731373520011,22213
